"","dataset","model","type","time_user","time_system","time_elapsed","mae","mape","mase","mpe","rmse","rsq"
"65","tesla_stock_price","fable_ets_timeseries.dcf","timeseries",0.618000000000009,0.00599999999999845,0.624000000000024,16.3070423089324,5.36661671577297,0.82279982940396,-0.874783037761538,23.3263963264866,0.506499014080212
"66","tesla_stock_price","fable_mean_timeseries.dcf","timeseries",0.00799999999999557,0,0.00700000000006185,40.7123177274702,12.6441589587988,2.05420992024122,12.610839117758,52.4470467221944,NA
"67","tesla_stock_price","fable_naive_timeseries.dcf","timeseries",0.00900000000000034,0.000999999999999446,0.00900000000001455,37.5806060606061,11.581473617543,1.89619402892127,11.512333695475,49.9921851362488,NA
"68","tesla_stock_price","fable_prophet_timeseries.dcf","timeseries",0.145999999999987,0.000999999999999446,0.146000000000072,87.9861033958623,31.4119549893396,4.4394899757131,-30.9661423972594,101.984034694243,0.0364115026417243
"69","tesla_stock_price","fable_tslm_timeseries.dcf","timeseries",0.00900000000000034,0,0.00900000000001455,46.5254268999228,16.89815723451,2.34752032839419,-14.9596342399391,56.0305671952422,0.0721246765599364
"70","tesla_stock_price","prophet_timeseries.dcf","timeseries",0.102000000000004,0,0.102000000000089,88.0073134996997,31.4205950322847,4.44056016793364,-30.9862354280197,101.984439459155,0.0365560526819833
"71","traffic","fable_arima_timeseries.dcf","timeseries",2.598,0.105,2.70099999999991,552.836779273051,33.1134923736331,0.912357845697284,-22.4239067412607,1095.6598464393,0.752091759712947
"72","traffic","fable_ets_timeseries.dcf","timeseries",1.974,0.0120000000000005,1.98500000000001,862.825278642342,66.4331773163102,1.42393820735013,-63.7293995293958,1126.80753761301,0.799494837040795
"73","traffic","fable_mean_timeseries.dcf","timeseries",0.00799999999999557,0,0.00799999999992451,1687.05201363183,168.005763280227,2.78417644853579,-136.353843611148,1936.34928611154,NA
"74","traffic","fable_naive_timeseries.dcf","timeseries",0.00900000000000034,0,0.0100000000001046,3116.84054669704,352.787994063433,5.14378571249497,-352.694226792531,3663.98558246609,NA
"75","traffic","fable_prophet_timeseries.dcf","timeseries",0.0570000000000022,0,0.0569999999999027,2989.52155124352,217.068325988483,4.93366856985288,-216.158208779235,3511.00572258575,0.424202254003602
"76","traffic","fable_tslm_timeseries.dcf","timeseries",0.0109999999999957,0,0.0109999999999673,572.880273967582,29.106857248934,0.945436035002622,-12.8975623071969,866.165811427164,0.799983693315755
"77","traffic","prophet_timeseries.dcf","timeseries",0.102000000000004,0,0.101999999999975,597.339771476162,36.9876193051025,0.985802044086009,-6.95879741785223,808.812136108439,0.82629949540496
